	O2.UC-11	O2.UC-12	O2.UC-13	O2.UC-14	O2.UC-16	O2.UC-17	O2.UC-18	O2.UC-19	O2.UC-1	O2.UC-20	O2.UC-21	O2.UC-22	O2.UC-23	O2.UC-24	O2.UC-4	V1.CD-11	V1.CD-12	V1.CD-13	V1.CD-14	V1.CD-15	V1.CD-1	V1.CD-2	V1.CD-3	V1.CD-4	V1.CD-6	V1.CD-8	V1.CD-9	V1.UC-10	V1.UC-13	V1.UC-14	V1.UC-15	V1.UC-17	V1.UC-18	V1.UC-19	V1.UC-21	V1.UC-6	V1.UC-7	V1.UC-8	V1.UC-9
V1.CD-1	0.993891079208	0.988432645263	0.9885524199019999	0.9847804207879999	0.9962303603370001	0.977126402917	0.986632624186	0.98657976214	0.994291946376	0.975247279667	0.9945248614929999	0.96322137945	0.975482571053	0.9956353027299999	0.9913958603499999	0.979049075023	0.984930096585	0.989248167799	0.981389464059	0.966486738511	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
V1.CD-2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.9505973979469999	0.984939107684	0.992530050343	0.978845776768	0.961190559893	0.9665255454389999	0.97681850174	0.96656662991	0.9586939084020001	0.972513272608	0.9844428478560001	0.990661491205	0.9849289012260001	0.9797756438040001	0.976809312556	0.9682023789030001	0.951864549338
V1.CD-3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9505973979469999	0.0	0.9651482092579999	0.9951101519600001	0.985370177612	0.9785429654629999	0.9426556546100001	0.969773988872	0.960165763496	0.9697397684460001	0.951027129375	0.9688947901170001	0.991520038497	0.992929839382	0.9303834137260001	0.982501603876	0.9556513998459999	0.960561651446
V1.CD-4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.984939107684	0.9651482092579999	0.0	0.994762114508	0.9872972748379999	0.97907850991	0.9660463689700002	0.987137306466	0.9771622681309999	0.9924679318359999	0.97767444654	0.9896361230859999	0.992787225608	0.980246064895	0.970508005998	0.982372504235	0.9874519815899999	0.981683506481
V1.CD-6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.992530050343	0.9951101519600001	0.994762114508	0.0	0.984663135525	0.990840725435	0.9931165060609999	0.9889703939069999	0.9900944523299999	0.992652064939	0.989767714681	0.989559831392	0.995194826206	0.989052294596	0.9855800004620001	0.991442033866	0.984396169952	0.9912418481730001
V1.CD-8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.978845776768	0.985370177612	0.9872972748379999	0.984663135525	0.0	0.9755883097720001	0.9696401627	0.9807175550280001	0.976741069959	0.9838085374299999	0.983220368387	0.9875644055380001	0.9885512225	0.9872809591030001	0.979600530107	0.9624642365189999	0.9726635188770001	0.980977137403
V1.CD-9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.961190559893	0.9785429654629999	0.97907850991	0.990840725435	0.9755883097720001	0.0	0.970963094966	0.983200218812	0.974807024975	0.97449183558	0.980130723602	0.9881730334639999	0.9876857331460001	0.9695120591390001	0.9811288616680001	0.9806800462540001	0.969399168123	0.9719689778399999
V1.UC-10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9665255454389999	0.9426556546100001	0.9660463689700002	0.9931165060609999	0.9696401627	0.970963094966	0.0	0.9721238589929999	0.963936200167	0.9730272986310001	0.95305291927	0.9825576709839999	0.989918262889	0.987053264587	0.964775429517	0.977011073577	0.9715555160070001	0.962640315985
V1.UC-13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.97681850174	0.969773988872	0.987137306466	0.9889703939069999	0.9807175550280001	0.983200218812	0.9721238589929999	0.0	0.968597708093	0.971908941995	0.984319401436	0.976985120989	0.99293242207	0.987815881234	0.971533871519	0.98672299777	0.9596466667479999	0.9730654840240001
V1.UC-14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.96656662991	0.960165763496	0.9771622681309999	0.9900944523299999	0.976741069959	0.974807024975	0.963936200167	0.968597708093	0.0	0.975790665585	0.967284400626	0.985335618424	0.9909101206350001	0.986947774691	0.9775324547249999	0.9712712164949999	0.955809386525	0.971795856476
V1.UC-15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9586939084020001	0.9697397684460001	0.9924679318359999	0.992652064939	0.9838085374299999	0.97449183558	0.9730272986310001	0.971908941995	0.975790665585	0.0	0.980196314088	0.97648970366	0.986267452712	0.9876058305869999	0.985863351452	0.984047713891	0.970740258236	0.956262444434
V1.UC-17	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.972513272608	0.951027129375	0.97767444654	0.989767714681	0.983220368387	0.980130723602	0.95305291927	0.984319401436	0.967284400626	0.980196314088	0.0	0.980101754245	0.9862878277220001	0.984707748497	0.967098930543	0.9832525710209999	0.981986140905	0.961695010241
V1.UC-18	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9844428478560001	0.9688947901170001	0.9896361230859999	0.989559831392	0.9875644055380001	0.9881730334639999	0.9825576709839999	0.976985120989	0.985335618424	0.97648970366	0.980101754245	0.0	0.983416718937	0.987395979033	0.9637896161489999	0.984856358498	0.973331314195	0.985178520615
V1.UC-19	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.990661491205	0.991520038497	0.992787225608	0.995194826206	0.9885512225	0.9876857331460001	0.989918262889	0.99293242207	0.9909101206350001	0.986267452712	0.9862878277220001	0.983416718937	0.0	0.991846778144	0.9878643172299999	0.991273124619	0.986926640293	0.982452376251
V1.UC-21	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9849289012260001	0.992929839382	0.980246064895	0.989052294596	0.9872809591030001	0.9695120591390001	0.987053264587	0.987815881234	0.986947774691	0.9876058305869999	0.984707748497	0.987395979033	0.991846778144	0.0	0.98929892825	0.985895474689	0.984928781972	0.985724947629
V1.UC-6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9797756438040001	0.9303834137260001	0.970508005998	0.9855800004620001	0.979600530107	0.9811288616680001	0.964775429517	0.971533871519	0.9775324547249999	0.985863351452	0.967098930543	0.9637896161489999	0.9878643172299999	0.98929892825	0.0	0.974707577377	0.964165976477	0.973365512967
V1.UC-7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.976809312556	0.982501603876	0.982372504235	0.991442033866	0.9624642365189999	0.9806800462540001	0.977011073577	0.98672299777	0.9712712164949999	0.984047713891	0.9832525710209999	0.984856358498	0.991273124619	0.985895474689	0.974707577377	0.0	0.973390589299	0.97487806514
V1.UC-8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9682023789030001	0.9556513998459999	0.9874519815899999	0.984396169952	0.9726635188770001	0.969399168123	0.9715555160070001	0.9596466667479999	0.955809386525	0.970740258236	0.981986140905	0.973331314195	0.986926640293	0.984928781972	0.964165976477	0.973390589299	0.0	0.9665914690549999
V1.UC-9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.951864549338	0.960561651446	0.981683506481	0.9912418481730001	0.980977137403	0.9719689778399999	0.962640315985	0.9730654840240001	0.971795856476	0.956262444434	0.961695010241	0.985178520615	0.982452376251	0.985724947629	0.973365512967	0.97487806514	0.9665914690549999	0.0
